pathway,NbDirectPathwayStepProcess
http://www.reactome.org/biopax/91/48887#Pathway2123,13
http://www.reactome.org/biopax/91/48887#Pathway2341,5
http://www.reactome.org/biopax/91/48887#Pathway2474,56
http://www.reactome.org/biopax/91/48887#Pathway2389,33
http://www.reactome.org/biopax/91/48887#Pathway1807,1
http://www.reactome.org/biopax/91/48887#Pathway6,2
http://www.reactome.org/biopax/91/48887#Pathway37,11
http://www.reactome.org/biopax/91/48887#Pathway332,8
http://www.reactome.org/biopax/91/48887#Pathway465,8
http://www.reactome.org/biopax/91/48887#Pathway550,14
http://www.reactome.org/biopax/91/48887#Pathway1580,10
http://www.reactome.org/biopax/91/48887#Pathway1277,2
http://www.reactome.org/biopax/91/48887#Pathway1362,2
http://www.reactome.org/biopax/91/48887#Pathway598,31
http://www.reactome.org/biopax/91/48887#Pathway1059,1
http://www.reactome.org/biopax/91/48887#Pathway1806,5
http://www.reactome.org/biopax/91/48887#Pathway2039,8
http://www.reactome.org/biopax/91/48887#Pathway2560,3
http://www.reactome.org/biopax/91/48887#Pathway909,4
http://www.reactome.org/biopax/91/48887#Pathway2475,32
http://www.reactome.org/biopax/91/48887#Pathway2342,4
http://www.reactome.org/biopax/91/48887#Pathway2693,2
http://www.reactome.org/biopax/91/48887#Pathway1939,7
http://www.reactome.org/biopax/91/48887#Pathway36,24
http://www.reactome.org/biopax/91/48887#Pathway7,11
http://www.reactome.org/biopax/91/48887#Pathway597,25
http://www.reactome.org/biopax/91/48887#Pathway464,8
http://www.reactome.org/biopax/91/48887#Pathway682,24
http://www.reactome.org/biopax/91/48887#Pathway1361,2
http://www.reactome.org/biopax/91/48887#Pathway331,31
http://www.reactome.org/biopax/91/48887#Pathway1276,2
http://www.reactome.org/biopax/91/48887#Pathway1010,6
http://www.reactome.org/biopax/91/48887#Pathway113,9
http://www.reactome.org/biopax/91/48887#Pathway246,16
http://www.reactome.org/biopax/91/48887#Pathway379,35
http://www.reactome.org/biopax/91/48887#Pathway1058,1
http://www.reactome.org/biopax/91/48887#Pathway1756,5
http://www.reactome.org/biopax/91/48887#Pathway1405,2
http://www.reactome.org/biopax/91/48887#Pathway1538,5
http://www.reactome.org/biopax/91/48887#Pathway908,15
http://www.reactome.org/biopax/91/48887#Pathway1889,3
http://www.reactome.org/biopax/91/48887#Pathway2290,2
http://www.reactome.org/biopax/91/48887#Pathway2072,25
http://www.reactome.org/biopax/91/48887#Pathway681,20
http://www.reactome.org/biopax/91/48887#Pathway2517,3
http://www.reactome.org/biopax/91/48887#Pathway1093,1
http://www.reactome.org/biopax/91/48887#Pathway2735,5
http://www.reactome.org/biopax/91/48887#Pathway2602,28
http://www.reactome.org/biopax/91/48887#Pathway596,16
http://www.reactome.org/biopax/91/48887#Pathway245,8
http://www.reactome.org/biopax/91/48887#Pathway330,21
http://www.reactome.org/biopax/91/48887#Pathway463,5
http://www.reactome.org/biopax/91/48887#Pathway1841,7
http://www.reactome.org/biopax/91/48887#Pathway1974,5
http://www.reactome.org/biopax/91/48887#Pathway71,2
http://www.reactome.org/biopax/91/48887#Pathway378,2
http://www.reactome.org/biopax/91/48887#Pathway112,12
http://www.reactome.org/biopax/91/48887#Pathway1404,2
http://www.reactome.org/biopax/91/48887#Pathway1755,9
http://www.reactome.org/biopax/91/48887#Pathway1319,1
http://www.reactome.org/biopax/91/48887#Pathway1888,4
http://www.reactome.org/biopax/91/48887#Pathway2073,4
http://www.reactome.org/biopax/91/48887#Pathway2291,43
http://www.reactome.org/biopax/91/48887#Pathway680,4
http://www.reactome.org/biopax/91/48887#Pathway2736,4
http://www.reactome.org/biopax/91/48887#Pathway2603,7
http://www.reactome.org/biopax/91/48887#Pathway244,1
http://www.reactome.org/biopax/91/48887#Pathway159,8
http://www.reactome.org/biopax/91/48887#Pathway377,32
http://www.reactome.org/biopax/91/48887#Pathway595,72
http://www.reactome.org/biopax/91/48887#Pathway462,12
http://www.reactome.org/biopax/91/48887#Pathway2518,54
http://www.reactome.org/biopax/91/48887#Pathway1973,9
http://www.reactome.org/biopax/91/48887#Pathway111,19
http://www.reactome.org/biopax/91/48887#Pathway1840,48
http://www.reactome.org/biopax/91/48887#Pathway1622,37
http://www.reactome.org/biopax/91/48887#Pathway70,2
http://www.reactome.org/biopax/91/48887#Pathway906,31
http://www.reactome.org/biopax/91/48887#Pathway1758,4
http://www.reactome.org/biopax/91/48887#Pathway1407,2
http://www.reactome.org/biopax/91/48887#Pathway2737,2
http://www.reactome.org/biopax/91/48887#Pathway2604,60
http://www.reactome.org/biopax/91/48887#Pathway1180,3
http://www.reactome.org/biopax/91/48887#Pathway158,8
http://www.reactome.org/biopax/91/48887#Pathway2519,17
http://www.reactome.org/biopax/91/48887#Pathway243,13
http://www.reactome.org/biopax/91/48887#Pathway594,29
http://www.reactome.org/biopax/91/48887#Pathway1095,1
http://www.reactome.org/biopax/91/48887#Pathway110,7
http://www.reactome.org/biopax/91/48887#Pathway73,2
http://www.reactome.org/biopax/91/48887#Pathway1710,26
http://www.reactome.org/biopax/91/48887#Pathway1624,11
http://www.reactome.org/biopax/91/48887#Pathway905,44
http://www.reactome.org/biopax/91/48887#Pathway1406,8
http://www.reactome.org/biopax/91/48887#Pathway1975,2
http://www.reactome.org/biopax/91/48887#Pathway2075,5
http://www.reactome.org/biopax/91/48887#Pathway2160,1
http://www.reactome.org/biopax/91/48887#Pathway460,14
http://www.reactome.org/biopax/91/48887#Pathway1094,1
http://www.reactome.org/biopax/91/48887#Pathway242,10
http://www.reactome.org/biopax/91/48887#Pathway375,39
http://www.reactome.org/biopax/91/48887#Pathway2738,10
http://www.reactome.org/biopax/91/48887#Pathway72,2
http://www.reactome.org/biopax/91/48887#Pathway1842,4
http://www.reactome.org/biopax/91/48887#Pathway157,8
http://www.reactome.org/biopax/91/48887#Pathway1712,6
http://www.reactome.org/biopax/91/48887#Pathway904,42
http://www.reactome.org/biopax/91/48887#Pathway1845,4
http://www.reactome.org/biopax/91/48887#Pathway819,8
http://www.reactome.org/biopax/91/48887#Pathway1978,11
http://www.reactome.org/biopax/91/48887#Pathway1627,10
http://www.reactome.org/biopax/91/48887#Pathway1409,2
http://www.reactome.org/biopax/91/48887#Pathway2294,11
http://www.reactome.org/biopax/91/48887#Pathway2076,5
http://www.reactome.org/biopax/91/48887#Pathway592,23
http://www.reactome.org/biopax/91/48887#Pathway241,11
http://www.reactome.org/biopax/91/48887#Pathway289,4
http://www.reactome.org/biopax/91/48887#Pathway2739,11
http://www.reactome.org/biopax/91/48887#Pathway374,37
http://www.reactome.org/biopax/91/48887#Pathway2606,25
http://www.reactome.org/biopax/91/48887#Pathway1930,21
http://www.reactome.org/biopax/91/48887#Pathway156,10
http://www.reactome.org/biopax/91/48887#Pathway903,10
http://www.reactome.org/biopax/91/48887#Pathway2380,76
http://www.reactome.org/biopax/91/48887#Pathway1626,13
http://www.reactome.org/biopax/91/48887#Pathway1977,12
http://www.reactome.org/biopax/91/48887#Pathway1759,4
http://www.reactome.org/biopax/91/48887#Pathway1844,7
http://www.reactome.org/biopax/91/48887#Pathway2162,33
http://www.reactome.org/biopax/91/48887#Pathway2295,11
http://www.reactome.org/biopax/91/48887#Pathway1181,1
http://www.reactome.org/biopax/91/48887#Pathway240,19
http://www.reactome.org/biopax/91/48887#Pathway591,34
http://www.reactome.org/biopax/91/48887#Pathway1096,1
http://www.reactome.org/biopax/91/48887#Pathway288,7
http://www.reactome.org/biopax/91/48887#Pathway2607,23
http://www.reactome.org/biopax/91/48887#Pathway155,8
http://www.reactome.org/biopax/91/48887#Pathway74,2
http://www.reactome.org/biopax/91/48887#Pathway817,10
http://www.reactome.org/biopax/91/48887#Pathway1847,12
http://www.reactome.org/biopax/91/48887#Pathway1629,53
http://www.reactome.org/biopax/91/48887#Pathway1932,5
http://www.reactome.org/biopax/91/48887#Pathway2030,28
http://www.reactome.org/biopax/91/48887#Pathway2296,19
http://www.reactome.org/biopax/91/48887#Pathway2163,28
http://www.reactome.org/biopax/91/48887#Pathway372,8
http://www.reactome.org/biopax/91/48887#Pathway590,14
http://www.reactome.org/biopax/91/48887#Pathway1184,1
http://www.reactome.org/biopax/91/48887#Pathway1051,1
http://www.reactome.org/biopax/91/48887#Pathway287,9
http://www.reactome.org/biopax/91/48887#Pathway77,6
http://www.reactome.org/biopax/91/48887#Pathway154,8
