pathway,pathwayID,Disease
reactome:Pathway699,R-HSA-5602571,Yes
reactome:Pathway430,R-HSA-4420332,Yes
reactome:Pathway259,R-HSA-5619048,Yes
reactome:Pathway675,R-HSA-9824443,Yes
reactome:Pathway420,R-HSA-3595177,Yes
reactome:Pathway462,R-HSA-5609976,Yes
reactome:Pathway595,R-HSA-168325,Yes
reactome:Pathway419,R-HSA-3560801,Yes
reactome:Pathway46,R-HSA-2219530,Yes
reactome:Pathway406,R-HSA-2978092,Yes
reactome:Pathway733,R-HSA-9672395,Yes
reactome:Pathway58,R-HSA-2644605,Yes
reactome:Pathway102,R-HSA-6802953,Yes
reactome:Pathway640,R-HSA-9772572,Yes
reactome:Pathway604,R-HSA-168274,Yes
reactome:Pathway354,R-HSA-6791462,Yes
reactome:Pathway589,R-HSA-168270,Yes
reactome:Pathway476,R-HSA-9735804,Yes
reactome:Pathway189,R-HSA-9632693,Yes
reactome:Pathway642,R-HSA-9694676,Yes
reactome:Pathway216,R-HSA-9630222,Yes
reactome:Pathway577,R-HSA-180585,Yes
reactome:Pathway78,R-HSA-5467340,Yes
reactome:Pathway19,R-HSA-2033519,Yes
reactome:Pathway187,R-HSA-9630791,Yes
reactome:Pathway352,R-HSA-6791461,Yes
reactome:Pathway558,R-HSA-167242,Yes
reactome:Pathway740,R-HSA-9673202,Yes
reactome:Pathway356,R-HSA-5659898,Yes
reactome:Pathway688,R-HSA-9660821,Yes
reactome:Pathway72,R-HSA-4791275,Yes
reactome:Pathway63,R-HSA-3304349,Yes
reactome:Pathway735,R-HSA-9672396,Yes
reactome:Pathway670,R-HSA-9828721,Yes
reactome:Pathway456,R-HSA-5083628,Yes
reactome:Pathway323,R-HSA-5619107,Yes
reactome:Pathway682,R-HSA-9664424,Yes
reactome:Pathway283,R-HSA-5619047,Yes
reactome:Pathway93,R-HSA-5387390,Yes
reactome:Pathway474,R-HSA-4085011,Yes
reactome:Pathway327,R-HSA-2206302,Yes
reactome:Pathway297,R-HSA-5655799,Yes
reactome:Pathway580,R-HSA-164944,Yes
reactome:Pathway120,R-HSA-9669917,Yes
reactome:Pathway9,R-HSA-5638303,Yes
reactome:Pathway186,R-HSA-9630794,Yes
reactome:Pathway680,R-HSA-9664420,Yes
reactome:Pathway284,R-HSA-5619061,Yes
reactome:Pathway277,R-HSA-5619046,Yes
reactome:Pathway397,R-HSA-9035968,Yes
reactome:Pathway39,R-HSA-9665245,Yes
reactome:Pathway95,R-HSA-5658034,Yes
reactome:Pathway384,R-HSA-5579010,Yes
reactome:Pathway588,R-HSA-168275,Yes
reactome:Pathway655,R-HSA-9727281,Yes
reactome:Pathway351,R-HSA-6791465,Yes
reactome:Pathway632,R-HSA-9679509,Yes
reactome:Pathway183,R-HSA-9675132,Yes
reactome:Pathway466,R-HSA-4755579,Yes
reactome:Pathway594,R-HSA-192905,Yes
reactome:Pathway487,R-HSA-9865114,Yes
reactome:Pathway669,R-HSA-9834752,Yes
reactome:Pathway333,R-HSA-2206290,Yes
reactome:Pathway613,R-HSA-168277,Yes
reactome:Pathway597,R-HSA-192814,Yes
reactome:Pathway193,R-HSA-9645723,Yes
reactome:Pathway256,R-HSA-5619073,Yes
reactome:Pathway230,R-HSA-9709570,Yes
reactome:Pathway239,R-HSA-5683371,Yes
reactome:Pathway48,R-HSA-5674404,Yes
reactome:Pathway700,R-HSA-5603027,Yes
reactome:Pathway718,R-HSA-9697154,Yes
reactome:Pathway299,R-HSA-5619054,Yes
reactome:Pathway695,R-HSA-5602680,Yes
reactome:Pathway44,R-HSA-9665737,Yes
reactome:Pathway523,R-HSA-9636249,Yes
reactome:Pathway330,R-HSA-2206282,Yes
reactome:Pathway206,R-HSA-5632928,Yes
reactome:Pathway570,R-HSA-162909,Yes
reactome:Pathway234,R-HSA-9704646,Yes
reactome:Pathway228,R-HSA-9763198,Yes
reactome:Pathway27,R-HSA-8853334,Yes
reactome:Pathway729,R-HSA-9662001,Yes
reactome:Pathway119,R-HSA-9669937,Yes
reactome:Pathway521,R-HSA-9637687,Yes
reactome:Pathway184,R-HSA-9630747,Yes
reactome:Pathway404,R-HSA-5579002,Yes
reactome:Pathway697,R-HSA-5602415,Yes
reactome:Pathway627,R-HSA-9683610,Yes
reactome:Pathway372,R-HSA-3371599,Yes
reactome:Pathway118,R-HSA-9669921,Yes
reactome:Pathway741,R-HSA-9673240,Yes
reactome:Pathway225,R-HSA-9699150,Yes
reactome:Pathway167,R-HSA-9717301,Yes
reactome:Pathway77,R-HSA-5467345,Yes
