pathway,pathwayID,Disease
reactome:Pathway583,R-HSA-164940,Yes
reactome:Pathway684,R-HSA-9664433,Yes
reactome:Pathway279,R-HSA-5619063,Yes
reactome:Pathway244,R-HSA-5683678,Yes
reactome:Pathway160,R-HSA-9725370,Yes
reactome:Pathway574,R-HSA-177243,Yes
reactome:Pathway467,R-HSA-4755583,Yes
reactome:Pathway438,R-HSA-4720475,Yes
reactome:Pathway243,R-HSA-5682294,Yes
reactome:Pathway618,R-HSA-9678108,Yes
reactome:Pathway418,R-HSA-3560783,Yes
reactome:Pathway405,R-HSA-5579016,Yes
reactome:Pathway313,R-HSA-5619081,Yes
reactome:Pathway362,R-HSA-3359463,Yes
reactome:Pathway656,R-HSA-9694322,Yes
reactome:Pathway42,R-HSA-9665348,Yes
reactome:Pathway509,R-HSA-5250981,Yes
reactome:Pathway439,R-HSA-4720454,Yes
reactome:Pathway658,R-HSA-9705683,Yes
reactome:Pathway716,R-HSA-6809583,Yes
reactome:Pathway353,R-HSA-5659996,Yes
reactome:Pathway542,R-HSA-162589,Yes
reactome:Pathway107,R-HSA-9656223,Yes
reactome:Pathway248,R-HSA-5684045,Yes
reactome:Pathway559,R-HSA-167287,Yes
reactome:Pathway706,R-HSA-2453864,Yes
reactome:Pathway75,R-HSA-5467337,Yes
reactome:Pathway739,R-HSA-9673221,Yes
reactome:Pathway601,R-HSA-168305,Yes
reactome:Pathway388,R-HSA-5579014,Yes
reactome:Pathway647,R-HSA-9694786,Yes
reactome:Pathway414,R-HSA-5688849,Yes
reactome:Pathway732,R-HSA-9672393,Yes
reactome:Pathway582,R-HSA-164939,Yes
reactome:Pathway112,R-HSA-9726842,Yes
reactome:Pathway121,R-HSA-9669934,Yes
reactome:Pathway36,R-HSA-9665246,Yes
reactome:Pathway390,R-HSA-5579011,Yes
reactome:Pathway12,R-HSA-1839124,Yes
reactome:Pathway499,R-HSA-5663205,Yes
reactome:Pathway100,R-HSA-9753510,Yes
reactome:Pathway379,R-HSA-5579009,Yes
reactome:Pathway496,R-HSA-9915355,Yes
reactome:Pathway668,R-HSA-9828642,Yes
reactome:Pathway6,R-HSA-5637812,Yes
reactome:Pathway134,R-HSA-9674396,Yes
reactome:Pathway262,R-HSA-5619039,Yes
reactome:Pathway637,R-HSA-9735869,Yes
reactome:Pathway208,R-HSA-5632968,Yes
reactome:Pathway155,R-HSA-9702998,Yes
reactome:Pathway281,R-HSA-5619068,Yes
reactome:Pathway69,R-HSA-3656534,Yes
reactome:Pathway158,R-HSA-9702569,Yes
reactome:Pathway83,R-HSA-5358751,Yes
reactome:Pathway11,R-HSA-5655302,Yes
reactome:Pathway651,R-HSA-9694548,Yes
reactome:Pathway479,R-HSA-9734207,Yes
reactome:Pathway66,R-HSA-3642278,Yes
reactome:Pathway114,R-HSA-9669933,Yes
reactome:Pathway192,R-HSA-9646304,Yes
reactome:Pathway7,R-HSA-5637810,Yes
reactome:Pathway26,R-HSA-2033515,Yes
reactome:Pathway569,R-HSA-162588,Yes
reactome:Pathway138,R-HSA-9682385,Yes
reactome:Pathway444,R-HSA-4793952,Yes
reactome:Pathway371,R-HSA-3323169,Yes
reactome:Pathway533,R-HSA-9637679,Yes
reactome:Pathway176,R-HSA-9661069,Yes
reactome:Pathway123,R-HSA-9669936,Yes
reactome:Pathway434,R-HSA-4549380,Yes
reactome:Pathway21,R-HSA-8851708,Yes
reactome:Pathway616,R-HSA-9610379,Yes
reactome:Pathway600,R-HSA-168315,Yes
reactome:Pathway645,R-HSA-9694682,Yes
reactome:Pathway417,R-HSA-3560796,Yes
reactome:Pathway62,R-HSA-3311021,Yes
reactome:Pathway662,R-HSA-9754678,Yes
reactome:Pathway290,R-HSA-5619072,Yes
reactome:Pathway89,R-HSA-5339717,Yes
reactome:Pathway483,R-HSA-9759774,Yes
reactome:Pathway178,R-HSA-9673013,Yes
reactome:Pathway194,R-HSA-9693928,Yes
reactome:Pathway628,R-HSA-9683686,Yes
reactome:Pathway28,R-HSA-5655291,Yes
reactome:Pathway51,R-HSA-2660826,Yes
reactome:Pathway126,R-HSA-9669914,Yes
reactome:Pathway350,R-HSA-5662853,Yes
reactome:Pathway236,R-HSA-5619084,Yes
reactome:Pathway222,R-HSA-9657050,Yes
reactome:Pathway431,R-HSA-3781860,Yes
reactome:Pathway573,R-HSA-180910,Yes
reactome:Pathway598,R-HSA-192823,Yes
reactome:Pathway275,R-HSA-3560792,Yes
reactome:Pathway117,R-HSA-9670439,Yes
reactome:Pathway548,R-HSA-177539,Yes
reactome:Pathway136,R-HSA-9674403,Yes
reactome:Pathway201,R-HSA-9723907,Yes
reactome:Pathway615,R-HSA-9609690,Yes
reactome:Pathway528,R-HSA-1222499,Yes
reactome:Pathway22,R-HSA-8853333,Yes
reactome:Pathway173,R-HSA-9687139,Yes
reactome:Pathway554,R-HSA-167169,Yes
reactome:Pathway631,R-HSA-9683612,Yes
reactome:Pathway218,R-HSA-9629232,Yes
reactome:Pathway287,R-HSA-5619097,Yes
reactome:Pathway199,R-HSA-8863678,Yes
reactome:Pathway481,R-HSA-9734281,Yes
reactome:Pathway698,R-HSA-5602566,Yes
reactome:Pathway272,R-HSA-5619077,Yes
reactome:Pathway130,R-HSA-9673766,Yes
reactome:Pathway393,R-HSA-5579013,Yes
reactome:Pathway217,R-HSA-9630221,Yes
reactome:Pathway303,R-HSA-5619114,Yes
reactome:Pathway133,R-HSA-9674415,Yes
reactome:Pathway369,R-HSA-3359454,Yes
reactome:Pathway653,R-HSA-9694493,Yes
reactome:Pathway280,R-HSA-5619043,Yes
reactome:Pathway703,R-HSA-9824856,Yes
reactome:Pathway423,R-HSA-3656244,Yes
reactome:Pathway271,R-HSA-5619053,Yes
reactome:Pathway412,R-HSA-5688399,Yes
reactome:Pathway85,R-HSA-5358749,Yes
reactome:Pathway59,R-HSA-2644607,Yes
reactome:Pathway564,R-HSA-165054,Yes
reactome:Pathway261,R-HSA-5619087,Yes
reactome:Pathway159,R-HSA-9700206,Yes
reactome:Pathway308,R-HSA-5619044,Yes
reactome:Pathway607,R-HSA-168268,Yes
reactome:Pathway109,R-HSA-9652817,Yes
reactome:Pathway274,R-HSA-5619036,Yes
reactome:Pathway41,R-HSA-9665250,Yes
reactome:Pathway294,R-HSA-5619088,Yes
reactome:Pathway722,R-HSA-9022535,Yes
reactome:Pathway501,R-HSA-5339562,Yes
reactome:Pathway541,R-HSA-162585,Yes
reactome:Pathway622,R-HSA-9683439,Yes
reactome:Pathway683,R-HSA-9660826,Yes
reactome:Pathway461,R-HSA-9931929,Yes
reactome:Pathway546,R-HSA-175567,Yes
reactome:Pathway539,R-HSA-162594,Yes
reactome:Pathway214,R-HSA-9616334,Yes
reactome:Pathway171,R-HSA-9842640,Yes
reactome:Pathway325,R-HSA-5663084,Yes
reactome:Pathway526,R-HSA-9635465,Yes
reactome:Pathway346,R-HSA-3785653,Yes
reactome:Pathway116,R-HSA-9680187,Yes
reactome:Pathway394,R-HSA-5579019,Yes
reactome:Pathway568,R-HSA-171286,Yes
reactome:Pathway81,R-HSA-5467348,Yes
reactome:Pathway648,R-HSA-9772573,Yes
reactome:Pathway475,R-HSA-5579031,Yes
reactome:Pathway349,R-HSA-5657562,Yes
reactome:Pathway231,R-HSA-9709603,Yes
reactome:Pathway383,R-HSA-5579021,Yes
reactome:Pathway5,R-HSA-1236382,Yes
reactome:Pathway233,R-HSA-9704331,Yes
reactome:Pathway578,R-HSA-176034,Yes
reactome:Pathway463,R-HSA-5609978,Yes
reactome:Pathway163,R-HSA-9700649,Yes
reactome:Pathway673,R-HSA-9833110,Yes
reactome:Pathway142,R-HSA-9703465,Yes
reactome:Pathway229,R-HSA-9709275,Yes
reactome:Pathway659,R-HSA-9705671,Yes
reactome:Pathway237,R-HSA-5678895,Yes
reactome:Pathway678,R-HSA-9664417,Yes
