subject,predicate,object
reactome:Protein41,abstraction:neighborOf,reactome:Complex34
reactome:Protein41,abstraction:neighborOf,reactome:Protein39
reactome:SmallMolecule2,abstraction:neighborOf,reactome:Complex34
reactome:SmallMolecule2,abstraction:neighborOf,reactome:Complex37
reactome:Complex48,abstraction:neighborOf,reactome:SmallMolecule3
reactome:Protein47,abstraction:neighborOf,reactome:Protein48
reactome:Complex63,abstraction:neighborOf,reactome:Protein49
reactome:Complex22,abstraction:neighborOf,reactome:Complex15
reactome:Protein34,abstraction:neighborOf,reactome:Protein76
reactome:PhysicalEntity1,abstraction:neighborOf,reactome:Protein15
reactome:Complex69,abstraction:neighborOf,reactome:Complex70
reactome:Complex5,abstraction:neighborOf,reactome:Protein24
reactome:Complex15,abstraction:neighborOf,reactome:Complex22
reactome:Complex43,abstraction:neighborOf,reactome:Protein31
reactome:Complex43,abstraction:neighborOf,reactome:Complex47
reactome:Protein83,abstraction:neighborOf,reactome:Protein84
reactome:Protein83,abstraction:neighborOf,reactome:Protein80
reactome:Protein14,abstraction:neighborOf,reactome:Complex4
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex68
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex48
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex60
reactome:Complex49,abstraction:neighborOf,reactome:Protein39
reactome:Complex49,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Complex49,abstraction:neighborOf,reactome:Protein31
reactome:Complex49,abstraction:neighborOf,reactome:Complex47
